type,busbar_name,existing_line_name,percentage
K,85-015.594-K-2,83-015.116-K-2-1-L3,55.710955710955645
K,85-015.570-K-2,83-015.116-K-2-1-L3,52.91375291375295
K,85-015.546-K-2,83-015.116-K-2-1-L3,50.11655011655005
K,85-015.522-K-2,83-015.116-K-2-1-L3,47.31934731934736
K,85-015.498-K-2,83-015.116-K-2-1-L3,44.52214452214446
K,85-015.474-K-2,83-015.116-K-2-1-L3,41.72494172494176
K,85-015.451-K-2,83-015.116-K-2-1-L3,39.04428904428912
K,85-015.428-K-2,83-015.116-K-2-1-L3,36.36363636363647
K,85-015.405-K-2,83-015.116-K-2-1-L3,33.682983682983625
K,85-015.382-K-2,83-015.116-K-2-1-L3,31.002331002330983
K,85-015.359-K-2,83-015.116-K-2-1-L3,28.32167832167834
K,85-015.336-K-2,83-015.116-K-2-1-L3,25.6410256410257
K,85-015.313-K-2,83-015.116-K-2-1-L3,22.960372960373057
K,85-015.291-K-2,83-015.116-K-2-1-L3,20.396270396270467
K,85-015.269-K-2,83-015.116-K-2-1-L3,17.832167832167876
K,85-015.247-K-2,83-015.116-K-2-1-L3,15.268065268065284
K,85-015.225-K-2,83-015.116-K-2-1-L3,12.703962703962695
K,85-015.203-K-2,83-015.116-K-2-1-L3,10.139860139860103
K,85-015.181-K-2,83-015.116-K-2-1-L3,7.575757575757514
K,85-015.159-K-2,83-015.116-K-2-1-L3,5.0116550116551295
K,85-015.137-K-2,83-015.116-K-2-1-L3,2.447552447552539
K,85-015.115-K-2,83-015.068-K-1-BR1,97.91666666666782
K,85-015.093-K-2,83-015.068-K-1-BR1,52.083333333334025
K,85-015.071-K-2,83-015.068-K-1-BR1,6.250000000000232
K,85-015.049-K-2,85-014.575-K-2-T2,96.14604462474642
K,85-015.027-K-2,85-014.575-K-2-T2,91.68356997971595
K,85-015.005-K-2,85-014.575-K-2-T2,87.22109533468584
K,85-014.983-K-2,85-014.575-K-2-T2,82.75862068965537
K,85-014.962-K-2,85-014.575-K-2-T2,78.49898580121707
K,85-014.941-K-2,85-014.575-K-2-T2,74.23935091277914
K,85-014.920-K-2,85-014.575-K-2-T2,69.97971602434086
K,85-014.899-K-2,85-014.575-K-2-T2,65.72008113590256
K,85-014.878-K-2,85-014.575-K-2-T2,61.46044624746463
K,85-014.857-K-2,85-014.575-K-2-T2,57.20081135902634
K,85-014.837-K-2,85-014.575-K-2-T2,53.14401622718058
K,85-014.817-K-2,85-014.575-K-2-T2,49.08722109533483
K,85-014.798-K-2,85-014.575-K-2-T2,45.233265720081256
K,85-014.779-K-2,85-014.575-K-2-T2,41.37931034482769
K,85-014.761-K-2,85-014.575-K-2-T2,37.72819472616629
K,85-014.743-K-2,85-014.575-K-2-T2,34.077079107505256
K,85-014.726-K-2,85-014.575-K-2-T2,30.628803245436405
K,85-014.710-K-2,85-014.575-K-2-T2,27.38336713995973
