id,km,BTR,spor,koerledning_pos,retur_pos
45583,13.65,85,Nordgaaende,85-013.650-K-2,85-013.650-R-2
45577,13.622,85,Nordgaaende,85-013.622-K-2,85-013.622-R-2
45571,13.594,85,Nordgaaende,85-013.594-K-2,85-013.594-R-2
45565,13.566,85,Nordgaaende,85-013.566-K-2,85-013.566-R-2
45559,13.538,85,Nordgaaende,85-013.538-K-2,85-013.538-R-2
45553,13.51,85,Nordgaaende,85-013.510-K-2,85-013.510-R-2
45547,13.482,85,Nordgaaende,85-013.482-K-2,85-013.482-R-2
45541,13.454,85,Nordgaaende,85-013.454-K-2,85-013.454-R-2
45535,13.426,85,Nordgaaende,85-013.426-K-2,85-013.426-R-2
45529,13.399,85,Nordgaaende,85-013.399-K-2,85-013.399-R-2
45523,13.372,85,Nordgaaende,85-013.372-K-2,85-013.372-R-2
45517,13.345,85,Nordgaaende,85-013.345-K-2,85-013.345-R-2
45511,13.318,85,Nordgaaende,85-013.318-K-2,85-013.318-R-2
45505,13.291,85,Nordgaaende,85-013.291-K-2,85-013.291-R-2
45499,13.264,85,Nordgaaende,85-013.264-K-2,85-013.264-R-2
45493,13.237,85,Nordgaaende,85-013.237-K-2,85-013.237-R-2
45487,13.21,85,Nordgaaende,85-013.210-K-2,85-013.210-R-2
45481,13.183,85,Nordgaaende,85-013.183-K-2,85-013.183-R-2
45475,13.156,85,Nordgaaende,85-013.156-K-2,85-013.156-R-2
45469,13.129,85,Nordgaaende,85-013.129-K-2,85-013.129-R-2
45463,13.102,85,Nordgaaende,85-013.102-K-2,85-013.102-R-2
45457,13.075,85,Nordgaaende,85-013.075-K-2,85-013.075-R-2
45451,13.049,85,Nordgaaende,85-013.049-K-2,85-013.049-R-2
45445,13.023,85,Nordgaaende,85-013.023-K-2,85-013.023-R-2
45439,12.997,85,Nordgaaende,85-012.997-K-2,85-012.997-R-2
45433,12.971,85,Nordgaaende,85-012.971-K-2,85-012.971-R-2
45427,12.945,85,Nordgaaende,85-012.945-K-2,85-012.945-R-2
45421,12.919,85,Nordgaaende,85-012.919-K-2,85-012.919-R-2
45415,12.894,85,Nordgaaende,85-012.894-K-2,85-012.894-R-2
45409,12.869,85,Nordgaaende,85-012.869-K-2,85-012.869-R-2
45403,12.844,85,Nordgaaende,85-012.844-K-2,85-012.844-R-2
45397,12.82,85,Nordgaaende,85-012.820-K-2,85-012.820-R-2
45391,12.796,85,Nordgaaende,85-012.796-K-2,85-012.796-R-2
45385,12.773,85,Nordgaaende,85-012.773-K-2,85-012.773-R-2
45379,12.75,85,Nordgaaende,85-012.750-K-2,85-012.750-R-2
