id,km,BTR,spor
42781,6.676,85,Nordgaaende
42775,6.668,85,Nordgaaende
42769,6.659,85,Nordgaaende
42763,6.649,85,Nordgaaende
42757,6.638,85,Nordgaaende
42751,6.626,85,Nordgaaende
42745,6.613,85,Nordgaaende
42739,6.599,85,Nordgaaende
42733,6.584,85,Nordgaaende
42727,6.568,85,Nordgaaende
42721,6.552,85,Nordgaaende
42715,6.535,85,Nordgaaende
42709,6.517,85,Nordgaaende
42703,6.499,85,Nordgaaende
42697,6.481,85,Nordgaaende
42691,6.463,85,Nordgaaende
42685,6.445,85,Nordgaaende
42679,6.427,85,Nordgaaende
42673,6.409,85,Nordgaaende
42667,6.391,85,Nordgaaende
42661,6.373,85,Nordgaaende
42655,6.355,85,Nordgaaende
42649,6.337,85,Nordgaaende
42643,6.319,85,Nordgaaende
42637,6.301,85,Nordgaaende
42631,6.283,85,Nordgaaende
42625,6.265,85,Nordgaaende
42619,6.247,85,Nordgaaende
42613,6.229,85,Nordgaaende
42607,6.211,85,Nordgaaende
42601,6.193,85,Nordgaaende
42595,6.175,85,Nordgaaende
42589,6.156,85,Nordgaaende
42583,6.137,85,Nordgaaende
42577,6.118,85,Nordgaaende
42571,6.099,85,Nordgaaende
42565,6.08,85,Nordgaaende
42559,6.061,85,Nordgaaende
42553,6.042,85,Nordgaaende
42547,6.023,85,Nordgaaende
42541,6.004,85,Nordgaaende
42535,5.985,85,Nordgaaende
42529,5.966,85,Nordgaaende
42523,5.948,85,Nordgaaende
42517,5.93,85,Nordgaaende
42511,5.912,85,Nordgaaende
42505,5.894,85,Nordgaaende
42499,5.876,85,Nordgaaende
42493,5.858,85,Nordgaaende
42487,5.84,85,Nordgaaende
42481,5.822,85,Nordgaaende
42475,5.804,85,Nordgaaende
42469,5.786,85,Nordgaaende
42463,5.768,85,Nordgaaende
42457,5.75,85,Nordgaaende
42451,5.733,85,Nordgaaende
42445,5.716,85,Nordgaaende
42439,5.699,85,Nordgaaende
42433,5.682,85,Nordgaaende
42427,5.665,85,Nordgaaende
42421,5.648,85,Nordgaaende
42415,5.631,85,Nordgaaende
42409,5.614,85,Nordgaaende
42403,5.597,85,Nordgaaende
42397,5.58,85,Nordgaaende
42391,5.563,85,Nordgaaende
42385,5.546,85,Nordgaaende
42379,5.529,85,Nordgaaende
42373,5.512,85,Nordgaaende
42367,5.495,85,Nordgaaende
42361,5.478,85,Nordgaaende
42355,5.461,85,Nordgaaende
42349,5.444,85,Nordgaaende
42343,5.427,85,Nordgaaende
42337,5.41,85,Nordgaaende
42331,5.393,85,Nordgaaende
42325,5.376,85,Nordgaaende
42319,5.36,85,Nordgaaende
42313,5.344,85,Nordgaaende
42307,5.328,85,Nordgaaende
42301,5.312,85,Nordgaaende
42295,5.296,85,Nordgaaende
42289,5.28,85,Nordgaaende
42283,5.264,85,Nordgaaende
42277,5.248,85,Nordgaaende
42271,5.232,85,Nordgaaende
42265,5.216,85,Nordgaaende
42259,5.2,85,Nordgaaende
42253,5.184,85,Nordgaaende
42247,5.168,85,Nordgaaende
42241,5.152,85,Nordgaaende
42235,5.136,85,Nordgaaende
42229,5.12,85,Nordgaaende
42223,5.104,85,Nordgaaende
42217,5.088,85,Nordgaaende
42211,5.072,85,Nordgaaende
42205,5.057,85,Nordgaaende
42199,5.042,85,Nordgaaende
42193,5.028,85,Nordgaaende
42187,5.014,85,Nordgaaende
42181,5.001,85,Nordgaaende
42175,4.988,85,Nordgaaende
42169,4.976,85,Nordgaaende
42163,4.964,85,Nordgaaende
42157,4.953,85,Nordgaaende
42151,4.942,85,Nordgaaende
42145,4.932,85,Nordgaaende
42139,4.922,85,Nordgaaende
42133,4.913,85,Nordgaaende
42127,4.904,85,Nordgaaende
42121,4.895,85,Nordgaaende
42115,4.887,85,Nordgaaende
42109,4.879,85,Nordgaaende
42103,4.872,85,Nordgaaende
42097,4.865,85,Nordgaaende
42091,4.859,85,Nordgaaende
42085,4.854,85,Nordgaaende
42079,4.849,85,Nordgaaende
42073,4.845,85,Nordgaaende
42067,4.842,85,Nordgaaende
42061,4.84,85,Nordgaaende
42055,4.839,85,Nordgaaende
41911,4.838,85,Nordgaaende
41905,4.837,85,Nordgaaende
41899,4.836,85,Nordgaaende
41893,4.834,85,Nordgaaende
41887,4.831,85,Nordgaaende
41881,4.826,85,Nordgaaende
41875,4.82,85,Nordgaaende
41869,4.812,85,Nordgaaende
41863,4.803,85,Nordgaaende
41857,4.793,85,Nordgaaende
41851,4.782,85,Nordgaaende
41845,4.77,85,Nordgaaende
41839,4.757,85,Nordgaaende
41833,4.743,85,Nordgaaende
41827,4.729,85,Nordgaaende
41821,4.714,85,Nordgaaende
41815,4.698,85,Nordgaaende
41809,4.682,85,Nordgaaende
41803,4.666,85,Nordgaaende
41797,4.65,85,Nordgaaende
41791,4.634,85,Nordgaaende
