type,bane_nr,busbar_name,lower_existing_line_name,percent
K,85,85-016.397-K-2,85-14.575-K,98.22102425876004
K,85,85-016.372-K-2,85-14.575-K,96.8733153638814
K,85,85-016.347-K-2,85-14.575-K,95.52560646900278
K,85,85-016.322-K-2,85-14.575-K,94.17789757412396
K,85,85-016.297-K-2,85-14.575-K,92.83018867924532
K,85,85-016.272-K-2,85-14.575-K,91.4824797843665
K,85,85-016.247-K-2,85-14.575-K,90.13477088948788
K,85,85-016.222-K-2,85-14.575-K,88.78706199460925
K,85,85-016.197-K-2,85-14.575-K,87.43935309973043
K,85,85-016.172-K-2,85-14.575-K,86.0916442048518
K,85,85-016.147-K-2,85-14.575-K,84.74393530997298
K,85,85-016.122-K-2,85-14.575-K,83.39622641509436
K,85,85-016.097-K-2,85-14.575-K,82.04851752021573
K,85,85-016.072-K-2,85-14.575-K,80.7008086253369
