busbar_name,type [R or K],busbar_kilometering [km],current [kA]
80-007.426-K-1-T1-T1-Fødekobler,K,7.426,-1738.6451232474426
82-007.000-K-7-V1-V1,K,7.0,-1738.6505059436813
82-007.744-K-7-V1-V1-71,K,7.744,-1738.6536731601095
82-008.043-K-7-V1-V1,K,8.043,-1738.6549461009504
84-007.000-K-5-GR2-GR2,K,7.0,-1738.6503065676434
84-007.744-K-5-GR2-GR2-71,K,7.744,-1738.6533210385903
84-007.801-K-5-GR3-GR2-26,K,7.801,-1738.653552003975
84-008.069-K-5-GR4-GR3-27,K,8.069,-1738.6546380311686
84-008.082-K-7-V1-T1-BB,K,8.082,-1738.6552796488365
84-008.149-K-5-GR4-GR4-BB,K,8.149,-1738.6549622436805
84-011.713-K-5-GR1-BR2-83-Fødekobler,K,11.713,-1738.6453277923251
84-011.713-K-5-GR1-GR1-BB,K,11.713,-1738.6453318430847
84-012.931-K-5-GR2-GR1-24-BB,K,12.931,-1738.6502660537242
87-011.713-K-7-V1-V1-Fødekobler,K,11.713,-1738.64535997839
87-012.912-K-7-V1-V1-23,K,12.912,-1738.6504633767318
82-018.237-K-1-T2-T1-21-BB,K,18.237,-1738.7463143013838
82-018.649-K-2-O1-O1-Fødekobler,K,18.649,-1738.7504503911093
82-018.685-K-1-T1-R2-81-BB,K,18.685,-1738.7521937760052
82-018.685-K-1-T1-T1-Fødekobler,K,18.685,-1738.7497897432397
82-018.685-K-2-O1-B1-82-BB,K,18.685,-1738.7516171979578
83-015.116-K-1-BR1-B3-Fødekobler,K,15.116,0.0
83-015.116-K-2-L3-R1-82-Fødekobler,K,15.116,0.0
83-017.153-K-1-B3-B2-31,K,17.153,0.0
83-017.153-K-1-R1-R2-32-BB,K,17.153,0.0
83-018.095-K-11-RR2-R2-92-BB,K,18.095,0.0
83-018.095-K-12-B2-B2-91,K,18.095,0.0
83-018.095-K-20-R3-R3-91,K,18.095,0.0
83-018.110-K-20-R3-R3,K,18.11,0.0
83-018.155-K-21-R3-R3,K,18.155,0.0
83-018.180-K-23-R3-R3,K,18.18,0.0
83-018.460-K-23-R3-R3,K,18.46,0.0
83-018.460-K-24-R3-R3,K,18.46,0.0
83-018.583-K-21-R3-R3,K,18.583,0.0
83-018.583-K-22-R3-R3,K,18.583,0.0
83-018.732-K-1-R2-R4-34-BB,K,18.732,0.0
83-018.856-K-2-B2-B1-33,K,18.856,0.0
83-019.076-K-1-R4-R5-36-BB,K,19.076,0.0
83-020.650-K-1-R5-R5-Fødekobler,K,20.65,0.0
83-020.650-K-2-B1-O2-81-Fødekobler,K,20.65,0.0
85-029.005-K-1-B4-B4-Fødekobler,K,29.005,-1738.418247847498
85-029.005-K-2-R1-R1-Fødekobler,K,29.005,-1738.4181496866001
85-029.462-K-2-R1-R1-92,K,29.462,-1738.4147542552407
85-029.624-K-1-B4-B4-92,K,29.624,-1738.4148298667951
85-029.624-K-32-B5-B5-91/92,K,29.624,-1738.4148298667951
85-029.829-K-2-R1-R2-32,K,29.829,-1738.4117904493075
85-029.832-K-1-B4-B3-31,K,29.832,-1738.4138158232254
85-032.837-K-1-B3-B2-21,K,32.837,-1738.3991667679459
85-032.837-K-2-R2-R3-22,K,32.837,-1738.387499499462
85-033.673-K-1-B2-B1-32,K,33.673,-1738.395091621056
85-033.673-K-2-R3-R4-24,K,33.673,-1738.3807486879
85-036.030-K-1-B1-O2-81-Fødekobler,K,36.03,-1738.3836029865365
85-036.045-K-2-R4-T2-82-Fødekobler,K,36.045,-1738.3615952222983
84-019.970-K-1-GR1-GR2-32-BB,K,19.97,-1738.645127497333
84-019.970-K-2-V2-V1-31-BB,K,19.97,-1738.6451273085447
84-020.607-K-1-GR2-O1-82-Fødekobler,K,20.607,-1738.6451245906435
84-020.607-K-1-O1-O1-82-Fødekobler,K,20.607,-1738.6451236548317
84-020.607-K-2-T1-T1-81-Fødekobler,K,20.607,-1738.6451243729985
84-020.607-K-2-V1-T1-81-Fødekobler,K,20.607,-1738.6451243756
