id,km,BTR,spor
43849,8.577,85,Nordgående
43843,8.556,85,Nordgående
43837,8.536,85,Nordgående
43831,8.516,85,Nordgående
43825,8.497,85,Nordgående
43819,8.478,85,Nordgående
43813,8.46,85,Nordgående
43807,8.442,85,Nordgående
43801,8.425,85,Nordgående
43795,8.409,85,Nordgående
43789,8.394,85,Nordgående
43783,8.38,85,Nordgående
43777,8.367,85,Nordgående
43771,8.355,85,Nordgående
43765,8.344,85,Nordgående
43759,8.334,85,Nordgående
43753,8.325,85,Nordgående
43747,8.317,85,Nordgående
43741,8.31,85,Nordgående
43735,8.304,85,Nordgående
43729,8.299,85,Nordgående
43723,8.296,85,Nordgående
43717,8.294,85,Nordgående
43555,8.293,85,Nordgående
43549,8.292,85,Nordgående
43543,8.29,85,Nordgående
43537,8.287,85,Nordgående
43531,8.283,85,Nordgående
43525,8.277,85,Nordgående
43519,8.27,85,Nordgående
43513,8.261,85,Nordgående
43507,8.251,85,Nordgående
43501,8.24,85,Nordgående
43495,8.228,85,Nordgående
43489,8.215,85,Nordgående
43483,8.201,85,Nordgående
43477,8.186,85,Nordgående
43471,8.171,85,Nordgående
43465,8.155,85,Nordgående
43459,8.138,85,Nordgående
43453,8.121,85,Nordgående
43447,8.103,85,Nordgående
43441,8.085,85,Nordgående
43435,8.066,85,Nordgående
43429,8.047,85,Nordgående
43423,8.028,85,Nordgående
43417,8.009,85,Nordgående
43411,7.99,85,Nordgående
43405,7.971,85,Nordgående
43399,7.952,85,Nordgående
43393,7.933,85,Nordgående
43387,7.914,85,Nordgående
43381,7.895,85,Nordgående
43375,7.876,85,Nordgående
43369,7.857,85,Nordgående
43363,7.838,85,Nordgående
43357,7.819,85,Nordgående
43351,7.8,85,Nordgående
43345,7.781,85,Nordgående
43339,7.762,85,Nordgående
43333,7.743,85,Nordgående
43327,7.724,85,Nordgående
43321,7.704,85,Nordgående
43315,7.684,85,Nordgående
43309,7.664,85,Nordgående
43303,7.644,85,Nordgående
43297,7.624,85,Nordgående
43291,7.604,85,Nordgående
43285,7.584,85,Nordgående
43279,7.564,85,Nordgående
